Round,Pick,PlayerId,Player,Position,NFLTeam,FantasyTeam,ManagerName
1,1,2560968,Saquon Barkley,RB,NYG,Team GOAT,Alex
1,2,2558019,Alvin Kamara,RB,NO,Team Justin,Justin
1,3,2555224,Ezekiel Elliott,RB,DAL,The Booty Clappers,Ulises
1,4,2543495,Davante Adams,WR,GB,Hate minorities,Luke
1,5,2557997,Christian McCaffrey,RB,CAR,Scummy wummy,Ethan
1,6,2540175,Le'Veon Bell,RB,NYJ,Beefcakes,Aiden
1,7,2552469,Melvin Gordon,RB,LAC,beaners,Howard
1,8,2540165,DeAndre Hopkins,WR,HOU,Houston Stars,Sean
2,9,2543496,Odell Beckham,WR,CLE,Houston Stars,Sean
2,10,2553435,David Johnson,RB,ARI,beaners,Howard
2,11,2552475,Todd Gurley,RB,LA,Beefcakes,Aiden
2,12,2495454,Julio Jones,WR,ATL,Scummy wummy,Ethan
2,13,2556370,Michael Thomas,WR,NO,Hate minorities,Luke
2,14,2540258,Travis Kelce,TE,KC,The Booty Clappers,Ulises
2,15,2558125,Patrick Mahomes,QB,KC,Team Justin,Justin
2,16,2540154,Keenan Allen,WR,LAC,Team GOAT,Alex
3,17,2558266,George Kittle,TE,SF,Team GOAT,Alex
3,18,2558149,JuJu Smith-Schuster,WR,PIT,Team Justin,Justin
3,19,2557976,Joe Mixon,RB,CIN,The Booty Clappers,Ulises
3,20,2557978,James Conner,RB,PIT,Hate minorities,Luke
3,21,2508061,Antonio Brown,WR,,Scummy wummy,Ethan
3,22,2543468,Mike Evans,WR,TB,Beefcakes,Aiden
3,23,2561021,Nick Chubb,RB,CLE,beaners,Howard
3,24,2550512,Damien Williams,RB,KC,Houston Stars,Sean
4,25,2540158,Zach Ertz,TE,PHI,Houston Stars,Sean
4,26,2532865,T.Y. Hilton,WR,IND,beaners,Howard
4,27,238498,Julian Edelman,WR,NE,Beefcakes,Aiden
4,28,2557991,Dalvin Cook,RB,MIN,Scummy wummy,Ethan
4,29,2541785,Adam Thielen,WR,MIN,Hate minorities,Luke
4,30,2552487,Amari Cooper,WR,DAL,The Booty Clappers,Ulises
4,31,2557973,Leonard Fournette,RB,JAX,Team Justin,Justin
4,32,2495450,A.J. Green,WR,CIN,Team GOAT,Alex
5,33,2556075,Derrick Henry,RB,TEN,Team GOAT,Alex
5,34,2552608,Stefon Diggs,WR,MIN,Team Justin,Justin
5,35,2556214,Tyreek Hill,WR,KC,The Booty Clappers,Ulises
5,36,2558116,Aaron Jones,RB,GB,Hate minorities,Luke
5,37,2543583,Devonta Freeman,RB,ATL,Scummy wummy,Ethan
5,38,2552430,Tyler Lockett,WR,SEA,Beefcakes,Aiden
5,39,2558052,Kenny Golladay,WR,DET,beaners,Howard
5,40,2558063,Deshaun Watson,QB,HOU,Houston Stars,Sean
6,41,2560765,Kerryon Johnson,RB,DET,Houston Stars,Sean
6,42,2557858,Evan Engram,TE,NYG,beaners,Howard
6,43,2532975,Russell Wilson,QB,SEA,Beefcakes,Aiden
6,44,2555341,Hunter Henry,TE,LAC,Scummy wummy,Ethan
6,45,2560800,Baker Mayfield,QB,CLE,Hate minorities,Luke
6,46,2506363,Aaron Rodgers,QB,GB,The Booty Clappers,Ulises
6,47,2540215,Vance McDonald,TE,PIT,Team Justin,Justin
6,48,2504775,Drew Brees,QB,NO,Team GOAT,Alex
7,49,2506106,Larry Fitzgerald,WR,ARI,Team GOAT,Alex
